ID,Season,Team1,Seed_1,WScore_1,LScore_1,TeamSpellingCount_1,Team2,Seed_2,LScore_2,WScore_2,TeamSpellingCount_2,seed_diff
2018_1104_1112,2018,1104,9,72.94736842105263,64.25,1,1112,4,62.857142857142854,77.86666666666666,1,5
2018_1104_1113,2018,1104,9,72.94736842105263,69.5,1,1113,11,62.857142857142854,89.46666666666667,5,-2
2018_1104_1116,2018,1104,9,72.94736842105263,70.0,1,1116,7,62.857142857142854,83.32,1,2
2018_1104_1120,2018,1104,9,72.94736842105263,75.71428571428571,1,1120,4,62.857142857142854,84.05555555555556,1,5
2018_1104_1137,2018,1104,9,72.94736842105263,70.5,1,1137,14,62.857142857142854,77.88461538461539,1,-5
2018_1104_1138,2018,1104,9,72.94736842105263,72.8,1,1138,13,62.857142857142854,81.6,1,-4
2018_1104_1139,2018,1104,9,72.94736842105263,67.75,1,1139,10,62.857142857142854,79.26086956521739,1,-1
2018_1104_1153,2018,1104,9,72.94736842105263,58.4,1,1153,2,62.857142857142854,77.24137931034483,1,7
2018_1104_1155,2018,1104,9,72.94736842105263,70.6,1,1155,5,62.857142857142854,78.82352941176471,1,4
2018_1104_1158,2018,1104,9,72.94736842105263,63.22222222222222,1,1158,13,62.857142857142854,71.41666666666667,7,-4
2018_1104_1166,2018,1104,9,72.94736842105263,72.0,1,1166,8,62.857142857142854,85.125,1,1
2018_1104_1168,2018,1104,9,72.94736842105263,68.0,1,1168,15,62.857142857142854,76.46666666666667,6,-6
2018_1104_1172,2018,1104,9,72.94736842105263,69.73333333333333,1,1172,12,62.857142857142854,77.41176470588235,1,-3
2018_1104_1181,2018,1104,9,72.94736842105263,72.625,1,1181,2,62.857142857142854,83.03703703703704,1,7
2018_1104_1196,2018,1104,9,72.94736842105263,67.75,1,1196,6,62.857142857142854,81.79166666666667,1,3
2018_1104_1199,2018,1104,9,72.94736842105263,72.25,1,1199,9,62.857142857142854,85.72,5,0
2018_1104_1209,2018,1104,9,72.94736842105263,63.916666666666664,1,1209,15,62.857142857142854,78.72222222222223,5,-6
2018_1104_1211,2018,1104,9,72.94736842105263,71.0,1,1211,4,62.857142857142854,85.0,1,5
2018_1104_1222,2018,1104,9,72.94736842105263,63.0,1,1222,6,62.857142857142854,78.71428571428571,1,3
2018_1104_1233,2018,1104,9,72.94736842105263,75.58333333333333,1,1233,15,62.857142857142854,83.13636363636364,1,-6
2018_1104_1242,2018,1104,9,72.94736842105263,84.75,1,1242,1,62.857142857142854,82.42857142857143,1,8
2018_1104_1243,2018,1104,9,72.94736842105263,67.46153846153847,1,1243,9,62.857142857142854,74.5,5,0
2018_1104_1246,2018,1104,9,72.94736842105263,76.2,1,1246,5,62.857142857142854,87.62068965517241,1,4
2018_1104_1252,2018,1104,9,72.94736842105263,75.23076923076923,1,1252,15,62.857142857142854,88.52941176470588,1,-6
2018_1104_1254,2018,1104,9,72.94736842105263,66.33333333333333,1,1254,16,62.857142857142854,73.89473684210526,6,-7
2018_1104_1260,2018,1104,9,72.94736842105263,68.0,1,1260,11,62.857142857142854,74.9375,5,-2
2018_1104_1267,2018,1104,9,72.94736842105263,80.0,1,1267,13,62.857142857142854,90.3157894736842,1,-4
2018_1104_1274,2018,1104,9,72.94736842105263,60.0,1,1274,6,62.857142857142854,74.28571428571429,6,3
2018_1104_1276,2018,1104,9,72.94736842105263,68.81818181818181,1,1276,3,62.857142857142854,77.54166666666667,1,6
2018_1104_1277,2018,1104,9,72.94736842105263,64.07142857142857,1,1277,3,62.857142857142854,77.36842105263158,5,6
2018_1104_1281,2018,1104,9,72.94736842105263,65.91666666666667,1,1281,8,62.857142857142854,78.875,1,1
2018_1104_1285,2018,1104,9,72.94736842105263,72.3125,1,1285,14,62.857142857142854,77.125,1,-5
2018_1104_1293,2018,1104,9,72.94736842105263,73.52941176470588,1,1293,12,62.857142857142854,84.78571428571429,5,-3
2018_1104_1300,2018,1104,9,72.94736842105263,65.625,1,1300,16,62.857142857142854,76.13636363636364,5,-7
2018_1104_1301,2018,1104,9,72.94736842105263,71.3529411764706,1,1301,9,62.857142857142854,84.66666666666667,7,0
2018_1104_1305,2018,1104,9,72.94736842105263,66.83333333333333,1,1305,7,62.857142857142854,82.78571428571429,1,2
2018_1104_1308,2018,1104,9,72.94736842105263,63.2,1,1308,12,62.857142857142854,80.28,5,-3
2018_1104_1314,2018,1104,9,72.94736842105263,70.85714285714286,1,1314,2,62.857142857142854,87.96153846153847,3,7
2018_1104_1326,2018,1104,9,72.94736842105263,70.26666666666667,1,1326,5,62.857142857142854,75.0,5,4
2018_1104_1328,2018,1104,9,72.94736842105263,67.9,1,1328,10,62.857142857142854,82.18181818181819,1,-1
2018_1104_1335,2018,1104,9,72.94736842105263,63.06666666666667,1,1335,16,62.857142857142854,75.53846153846153,2,-7
2018_1104_1344,2018,1104,9,72.94736842105263,64.08333333333333,1,1344,10,62.857142857142854,73.95,1,-1
2018_1104_1345,2018,1104,9,72.94736842105263,74.28571428571429,1,1345,2,62.857142857142854,81.76,1,7
2018_1104_1347,2018,1104,9,72.94736842105263,57.94444444444444,1,1347,16,62.857142857142854,72.83333333333333,1,-7
2018_1104_1348,2018,1104,9,72.94736842105263,64.66666666666667,1,1348,7,62.857142857142854,76.625,2,2
2018_1104_1355,2018,1104,9,72.94736842105263,71.625,1,1355,12,62.857142857142854,82.5625,5,-3
2018_1104_1361,2018,1104,9,72.94736842105263,62.57142857142857,1,1361,11,62.857142857142854,72.38888888888889,6,-2
2018_1104_1371,2018,1104,9,72.94736842105263,64.81818181818181,1,1371,8,62.857142857142854,77.76190476190476,2,1
2018_1104_1372,2018,1104,9,72.94736842105263,64.07142857142857,1,1372,14,62.857142857142854,72.26666666666667,4,-5
2018_1104_1382,2018,1104,9,72.94736842105263,70.91666666666667,1,1382,11,62.857142857142854,80.4,3,-2
2018_1104_1393,2018,1104,9,72.94736842105263,65.42857142857143,1,1393,11,62.857142857142854,83.77777777777777,1,-2
2018_1104_1395,2018,1104,9,72.94736842105263,67.4,1,1395,6,62.857142857142854,78.83333333333333,3,3
2018_1104_1397,2018,1104,9,72.94736842105263,66.375,1,1397,3,62.857142857142854,81.73333333333333,1,6
2018_1104_1400,2018,1104,9,72.94736842105263,62.36363636363637,1,1400,10,62.857142857142854,76.63636363636364,1,-1
2018_1104_1401,2018,1104,9,72.94736842105263,62.8,1,1401,7,62.857142857142854,77.125,3,2
2018_1104_1403,2018,1104,9,72.94736842105263,64.57142857142857,1,1403,3,62.857142857142854,80.11111111111111,2,6
2018_1104_1411,2018,1104,9,72.94736842105263,70.0,1,1411,16,62.857142857142854,76.47826086956522,3,-7
2018_1104_1417,2018,1104,9,72.94736842105263,80.75,1,1417,11,62.857142857142854,91.6896551724138,1,-2
2018_1104_1420,2018,1104,9,72.94736842105263,71.08333333333333,1,1420,16,62.857142857142854,87.5,5,-7
2018_1104_1422,2018,1104,9,72.94736842105263,64.88888888888889,1,1422,13,62.857142857142854,76.04545454545455,6,-4
2018_1104_1437,2018,1104,9,72.94736842105263,65.33333333333333,1,1437,1,62.857142857142854,78.87096774193549,1,8
2018_1104_1438,2018,1104,9,72.94736842105263,59.2,1,1438,1,62.857142857142854,69.95454545454545,1,8
2018_1104_1439,2018,1104,9,72.94736842105263,72.2,1,1439,8,62.857142857142854,82.45454545454545,2,1
2018_1104_1452,2018,1104,9,72.94736842105263,75.75,1,1452,5,62.857142857142854,83.88461538461539,2,4
2018_1104_1455,2018,1104,9,72.94736842105263,65.5,1,1455,4,62.857142857142854,84.17241379310344,6,5
2018_1104_1460,2018,1104,9,72.94736842105263,68.75,1,1460,14,62.857142857142854,80.33333333333333,5,-5
